gvkey,datadate,fyear,tic,conm,curcd,revt,sale,xad,exchg
001690,09/30/2010,2010,AAPL,APPLE INC,USD,65225.0000,65225.0000,691.0000,14
001690,09/30/2011,2011,AAPL,APPLE INC,USD,108249.0000,108249.0000,933.0000,14
001690,09/30/2012,2012,AAPL,APPLE INC,USD,156508.0000,156508.0000,1000.0000,14
001690,09/30/2013,2013,AAPL,APPLE INC,USD,170910.0000,170910.0000,1100.0000,14
001690,09/30/2014,2014,AAPL,APPLE INC,USD,182795.0000,182795.0000,1200.0000,14
001690,09/30/2015,2015,AAPL,APPLE INC,USD,233715.0000,233715.0000,1800.0000,14
001690,09/30/2016,2016,AAPL,APPLE INC,USD,215091.0000,215091.0000,,14
001690,09/30/2017,2017,AAPL,APPLE INC,USD,229234.0000,229234.0000,,14
001690,09/30/2018,2018,AAPL,APPLE INC,USD,265359.0000,265359.0000,,14
001690,09/30/2019,2019,AAPL,APPLE INC,USD,260174.0000,260174.0000,,14
001690,09/30/2020,2020,AAPL,APPLE INC,USD,274515.0000,274515.0000,,14
002184,02/28/2011,2010,BBY,BEST BUY CO INC,USD,50272.0000,50272.0000,901.0000,11
002184,02/29/2012,2011,BBY,BEST BUY CO INC,USD,50705.0000,50705.0000,995.0000,11
002184,01/31/2013,2012,BBY,BEST BUY CO INC,USD,45085.0000,45085.0000,913.0000,11
002184,01/31/2014,2013,BBY,BEST BUY CO INC,USD,42410.0000,42410.0000,775.0000,11
002184,01/31/2015,2014,BBY,BEST BUY CO INC,USD,40339.0000,40339.0000,711.0000,11
002184,01/31/2016,2015,BBY,BEST BUY CO INC,USD,39528.0000,39528.0000,742.0000,11
002184,01/31/2017,2016,BBY,BEST BUY CO INC,USD,39403.0000,39403.0000,743.0000,11
002184,01/31/2018,2017,BBY,BEST BUY CO INC,USD,42151.0000,42151.0000,776.0000,11
002184,01/31/2019,2018,BBY,BEST BUY CO INC,USD,42879.0000,42879.0000,777.0000,11
002184,01/31/2020,2019,BBY,BEST BUY CO INC,USD,43638.0000,43638.0000,840.0000,11
002968,12/31/2010,2010,JPM,JPMORGAN CHASE & CO,USD,115475.0000,,,11
002968,12/31/2010,2010,JPM,JPMORGAN CHASE & CO,USD,115475.0000,115475.0000,2446.0000,11
