Url,Date,PageviewsPerMillion,PageviewsPerUser,Rank,ReachPerMillion
adobe.com,2018-05-10,658,2.71,82,9030
adobe.com,2018-05-11,646,2.69,86,8300
adobe.com,2018-05-12,813,2.67,70,10100
adobe.com,2018-05-13,798,2.68,75,10100
adobe.com,2018-05-14,718,2.74,78,9470
adobe.com,2018-05-15,696,2.64,78,9410
adobe.com,2018-05-16,704,2.69,77,9220
adobe.com,2018-05-17,671,2.70,81,8610
adobe.com,2018-05-18,640,2.70,85,8100
adobe.com,2018-05-19,645,2.61,85,8080
adobe.com,2018-05-20,639,2.62,84,8190
adobe.com,2018-05-21,657,2.68,82,8750
adobe.com,2018-05-22,681,2.71,80,8730
adobe.com,2018-05-23,678,2.71,82,8680
adobe.com,2018-05-24,627,2.65,88,8160
adobe.com,2018-05-25,644,2.75,90,7920
adobe.com,2018-05-26,569,2.58,96,7250
adobe.com,2018-05-27,583,2.64,92,7450
adobe.com,2018-05-28,616,2.62,87,8260
adobe.com,2018-05-29,672,2.71,79,8920
adobe.com,2018-05-30,652,2.71,80,8560
adobe.com,2018-05-31,618,2.69,85,8170
adobe.com,2018-06-01,572,2.66,90,7790
adobe.com,2018-06-02,539,2.62,94,6860
adobe.com,2018-06-03,521,2.54,106,7220
adobe.com,2018-06-04,642,2.73,78,8760
adobe.com,2018-06-05,658,2.84,78,8600
adobe.com,2018-06-06,584,2.69,90,8320
adobe.com,2018-06-07,639,2.72,78,9110
adobe.com,2018-06-08,639,2.70,81,8970
adobe.com,2018-06-09,832,2.66,67,11200
