Url,Date,PageviewsPerMillion,PageviewsPerUser,Rank,ReachPerMillion
amazon.com,2018-05-10,8533,7.71,10,41200
amazon.com,2018-05-11,8858,7.70,10,39800
amazon.com,2018-05-12,8824,7.36,11,39900
amazon.com,2018-05-13,8959,7.40,10,41100
amazon.com,2018-05-14,9304,7.94,9,42400
amazon.com,2018-05-15,9011,7.91,10,40700
amazon.com,2018-05-16,9079,7.88,10,40600
amazon.com,2018-05-17,9048,7.83,10,40100
amazon.com,2018-05-18,8746,7.66,10,39000
amazon.com,2018-05-19,8991,7.45,10,39500
amazon.com,2018-05-20,9305,7.58,10,41300
amazon.com,2018-05-21,9541,8.10,9,42000
amazon.com,2018-05-22,9274,7.51,9,42900
amazon.com,2018-05-23,9185,7.84,10,40600
amazon.com,2018-05-24,8771,7.65,10,39500
amazon.com,2018-05-25,8919,7.75,11,39000
amazon.com,2018-05-26,8938,7.48,12,39200
amazon.com,2018-05-27,9076,7.56,10,40500
amazon.com,2018-05-28,10020,8.22,9,42800
amazon.com,2018-05-29,9713,8.22,10,42400
amazon.com,2018-05-30,9518,8.14,10,41600
amazon.com,2018-05-31,9228,8.01,10,41100
amazon.com,2018-06-01,9375,8.29,10,41000
amazon.com,2018-06-02,9313,7.67,10,40500
amazon.com,2018-06-03,9380,7.72,10,42700
amazon.com,2018-06-04,10050,8.38,9,44600
amazon.com,2018-06-05,9903,8.40,9,43800
amazon.com,2018-06-06,9786,8.61,9,43600
amazon.com,2018-06-07,9011,8.29,9,42200
amazon.com,2018-06-08,8839,8.13,9,41200
amazon.com,2018-06-09,8600,7.62,10,40500
