Url,Date,PageviewsPerMillion,PageviewsPerUser,Rank,ReachPerMillion
ebay.com,2018-05-10,2480,7.12,40,13000
ebay.com,2018-05-11,2550,6.91,42,12700
ebay.com,2018-05-12,2880,7.15,36,13400
ebay.com,2018-05-13,2750,6.96,37,13400
ebay.com,2018-05-14,2610,6.95,41,13600
ebay.com,2018-05-15,2590,6.93,40,13300
ebay.com,2018-05-16,2640,7.04,40,13200
ebay.com,2018-05-17,2650,7.12,41,12900
ebay.com,2018-05-18,2600,6.91,41,12900
ebay.com,2018-05-19,2890,7.11,34,13300
ebay.com,2018-05-20,2840,7.07,35,13500
ebay.com,2018-05-21,2710,7.19,40,13400
ebay.com,2018-05-22,2560,6.88,42,12900
ebay.com,2018-05-23,2630,6.94,42,13100
ebay.com,2018-05-24,2590,6.94,42,12900
ebay.com,2018-05-25,2620,6.92,43,12800
ebay.com,2018-05-26,2920,7.05,37,13600
ebay.com,2018-05-27,2860,7.01,36,13800
ebay.com,2018-05-28,2890,7.11,35,14300
ebay.com,2018-05-29,2620,6.91,42,13600
ebay.com,2018-05-30,2640,7.04,43,13400
ebay.com,2018-05-31,2550,6.98,44,13000
ebay.com,2018-06-01,2610,7.14,37,13300
ebay.com,2018-06-02,2980,7.27,36,13700
ebay.com,2018-06-03,2810,7.19,38,13700
ebay.com,2018-06-04,2720,7.31,41,13900
ebay.com,2018-06-05,2600,6.98,41,13800
ebay.com,2018-06-06,2980,7.74,37,14800
ebay.com,2018-06-07,2660,7.25,40,14200
ebay.com,2018-06-08,2450,6.96,40,13300
ebay.com,2018-06-09,2710,7.16,36,13600
