Url,Date,PageviewsPerMillion,PageviewsPerUser,Rank,ReachPerMillion
instagram.com,2018-05-10,3579,2.97,16,44800
instagram.com,2018-05-11,3815,2.95,15,44600
instagram.com,2018-05-12,4035,2.89,15,46500
instagram.com,2018-05-13,4081,2.93,16,47300
instagram.com,2018-05-14,3737,3.02,16,44700
instagram.com,2018-05-15,3809,3.08,16,44200
instagram.com,2018-05-16,3716,2.96,16,44400
instagram.com,2018-05-17,3705,2.91,16,44200
instagram.com,2018-05-18,3911,3.01,16,44300
instagram.com,2018-05-19,4048,2.91,15,45600
instagram.com,2018-05-20,4131,2.96,15,46900
instagram.com,2018-05-21,3862,3.06,16,45100
instagram.com,2018-05-22,3715,2.90,16,44500
instagram.com,2018-05-23,3789,2.94,16,44600
instagram.com,2018-05-24,3804,2.96,16,44300
instagram.com,2018-05-25,3903,2.96,15,44700
instagram.com,2018-05-26,4201,2.95,15,46800
instagram.com,2018-05-27,4186,2.97,15,47600
instagram.com,2018-05-28,4075,3.08,15,46500
instagram.com,2018-05-29,3962,3.09,16,46100
instagram.com,2018-05-30,4002,3.10,16,46000
instagram.com,2018-05-31,4069,3.16,15,45900
instagram.com,2018-06-01,4670,3.61,12,47000
instagram.com,2018-06-02,4390,3.10,15,47300
instagram.com,2018-06-03,4360,3.15,12,48700
instagram.com,2018-06-04,4174,3.29,13,47300
instagram.com,2018-06-05,4348,3.38,13,47800
instagram.com,2018-06-06,4454,3.57,12,47900
instagram.com,2018-06-07,4020,3.35,13,46600
instagram.com,2018-06-08,4226,3.40,13,47100
instagram.com,2018-06-09,4175,3.16,14,47400
