Url,Date,PageviewsPerMillion,PageviewsPerUser,Rank,ReachPerMillion
microsoft.com,2018-05-10,1230,2.37,36,19400
microsoft.com,2018-05-11,1310,2.43,37,18600
microsoft.com,2018-05-12,1130,2.27,42,16500
microsoft.com,2018-05-13,1080,2.22,44,16600
microsoft.com,2018-05-14,1240,2.39,38,18800
microsoft.com,2018-05-15,1300,2.42,35,19200
microsoft.com,2018-05-16,1320,2.40,37,19400
microsoft.com,2018-05-17,1350,2.39,35,19500
microsoft.com,2018-05-18,1310,2.38,37,18800
microsoft.com,2018-05-19,1210,2.21,38,17900
microsoft.com,2018-05-20,1200,2.29,40,17600
microsoft.com,2018-05-21,1320,2.40,35,19600
microsoft.com,2018-05-22,1410,2.44,32,20200
microsoft.com,2018-05-23,1350,2.44,35,19200
microsoft.com,2018-05-24,1340,2.43,35,19000
microsoft.com,2018-05-25,1320,2.42,38,18500
microsoft.com,2018-05-26,1110,2.24,44,16400
microsoft.com,2018-05-27,1090,2.26,45,16300
microsoft.com,2018-05-28,1210,2.36,39,18000
microsoft.com,2018-05-29,1310,2.47,37,19100
microsoft.com,2018-05-30,1320,2.50,40,18700
microsoft.com,2018-05-31,1290,2.50,39,18400
microsoft.com,2018-06-01,1230,2.48,36,18000
microsoft.com,2018-06-02,1070,2.27,43,15700
microsoft.com,2018-06-03,1080,2.32,47,16400
microsoft.com,2018-06-04,1250,2.40,36,19400
microsoft.com,2018-06-05,1290,2.43,37,19700
microsoft.com,2018-06-06,1240,2.48,39,19200
microsoft.com,2018-06-07,1230,2.51,39,19100
microsoft.com,2018-06-08,1180,2.44,39,18300
microsoft.com,2018-06-09,1040,2.32,46,16200
