Url,Date,PageviewsPerMillion,PageviewsPerUser,Rank,ReachPerMillion
netflix.com,2018-05-10,1120,1.59,30,26100
netflix.com,2018-05-11,1220,1.61,31,26200
netflix.com,2018-05-12,1520,1.61,25,31400
netflix.com,2018-05-13,1600,1.63,23,33300
netflix.com,2018-05-14,1170,1.62,30,26000
netflix.com,2018-05-15,1120,1.59,33,25000
netflix.com,2018-05-16,1100,1.57,32,24800
netflix.com,2018-05-17,1160,1.59,31,25200
netflix.com,2018-05-18,1330,1.65,27,27400
netflix.com,2018-05-19,1760,1.72,23,33500
netflix.com,2018-05-20,1720,1.68,23,34500
netflix.com,2018-05-21,1250,1.62,27,27600
netflix.com,2018-05-22,1200,1.55,27,26800
netflix.com,2018-05-23,1190,1.57,28,26200
netflix.com,2018-05-24,1170,1.55,29,26000
netflix.com,2018-05-25,1260,1.59,27,26900
netflix.com,2018-05-26,1610,1.67,23,31800
netflix.com,2018-05-27,1670,1.65,24,34200
netflix.com,2018-05-28,1360,1.63,24,29400
netflix.com,2018-05-29,1200,1.61,29,26600
netflix.com,2018-05-30,1210,1.63,31,26500
netflix.com,2018-05-31,1210,1.61,27,26800
netflix.com,2018-06-01,1190,1.66,29,26100
netflix.com,2018-06-02,1590,1.68,24,31700
netflix.com,2018-06-03,1620,1.69,25,33700
netflix.com,2018-06-04,1170,1.65,31,26400
netflix.com,2018-06-05,1150,1.65,32,26000
netflix.com,2018-06-06,1120,1.65,29,25900
netflix.com,2018-06-07,1070,1.65,33,25200
netflix.com,2018-06-08,1160,1.65,31,26500
netflix.com,2018-06-09,1490,1.69,25,31700
