Url,Date,PageviewsPerMillion,PageviewsPerUser,Rank,ReachPerMillion
twitch.tv,2018-05-10,502,3.01,114,6210
twitch.tv,2018-05-11,1870,2.82,27,22900
twitch.tv,2018-05-12,2310,2.89,24,26600
twitch.tv,2018-05-13,2240,2.82,24,26900
twitch.tv,2018-05-14,1620,2.77,31,21100
twitch.tv,2018-05-15,1550,2.60,32,21300
twitch.tv,2018-05-16,1550,2.62,33,20900
twitch.tv,2018-05-17,1580,2.59,32,21100
twitch.tv,2018-05-18,1730,2.68,31,22000
twitch.tv,2018-05-19,576,2.74,104,6880
twitch.tv,2018-05-20,587,2.79,102,7080
twitch.tv,2018-05-21,1670,2.78,31,21400
twitch.tv,2018-05-22,336,2.72,163,4290
twitch.tv,2018-05-23,1650,2.67,30,21400
twitch.tv,2018-05-24,1620,2.65,32,21100
twitch.tv,2018-05-25,1790,2.69,28,22500
twitch.tv,2018-05-26,2130,2.60,25,26900
twitch.tv,2018-05-27,2090,2.71,26,26100
twitch.tv,2018-05-28,1760,2.68,30,23100
twitch.tv,2018-05-29,1690,2.72,30,22400
twitch.tv,2018-05-30,1680,2.67,32,22400
twitch.tv,2018-05-31,1670,2.74,33,21700
twitch.tv,2018-06-01,607,2.74,85,8040
twitch.tv,2018-06-02,708,2.82,77,8370
twitch.tv,2018-06-03,2290,2.88,26,28000
twitch.tv,2018-06-04,1640,2.77,32,22000
twitch.tv,2018-06-05,1620,2.73,33,22000
twitch.tv,2018-06-06,1540,2.68,30,22000
twitch.tv,2018-06-07,1630,2.77,28,22800
twitch.tv,2018-06-08,1720,2.72,26,24000
twitch.tv,2018-06-09,776,2.80,73,9950
