Url,Date,PageviewsPerMillion,PageviewsPerUser,Rank,ReachPerMillion
twitter.com,2018-05-10,3750,2.88,14,48500
twitter.com,2018-05-11,3970,2.82,13,48600
twitter.com,2018-05-12,3980,2.79,13,47500
twitter.com,2018-05-13,3950,2.76,15,48500
twitter.com,2018-05-14,3820,2.84,13,48700
twitter.com,2018-05-15,3880,2.83,14,49000
twitter.com,2018-05-16,3920,2.78,14,49800
twitter.com,2018-05-17,3870,2.70,14,49600
twitter.com,2018-05-18,3940,2.77,14,48600
twitter.com,2018-05-19,4110,2.75,13,48800
twitter.com,2018-05-20,3920,2.77,16,47600
twitter.com,2018-05-21,3830,2.84,14,48100
twitter.com,2018-05-22,3640,2.69,15,47000
twitter.com,2018-05-23,3810,2.79,15,47400
twitter.com,2018-05-24,3880,2.78,14,48200
twitter.com,2018-05-25,4440,2.89,10,51900
twitter.com,2018-05-26,4290,2.89,14,48800
twitter.com,2018-05-27,4120,2.86,14,48700
twitter.com,2018-05-28,3980,2.84,12,49200
twitter.com,2018-05-29,4210,2.98,11,50800
twitter.com,2018-05-30,4360,2.97,11,52200
twitter.com,2018-05-31,4030,2.84,11,50700
twitter.com,2018-06-01,4700,3.13,9,54500
twitter.com,2018-06-02,4390,2.91,11,50400
twitter.com,2018-06-03,4080,2.94,14,48800
twitter.com,2018-06-04,4120,3.04,11,50500
twitter.com,2018-06-05,4210,3.07,11,51000
twitter.com,2018-06-06,4450,3.27,10,52200
twitter.com,2018-06-07,3970,3.00,11,51300
twitter.com,2018-06-08,4150,3.00,11,52400
twitter.com,2018-06-09,4150,2.91,11,51100
