Url,Date,PageviewsPerMillion,PageviewsPerUser,Rank,ReachPerMillion
apple.com,2018-05-10,803,3.12,76,9570
apple.com,2018-05-11,866,3.19,74,9380
apple.com,2018-05-12,801,3.07,77,8680
apple.com,2018-05-13,827,2.99,78,9390
apple.com,2018-05-14,835,3.08,75,9810
apple.com,2018-05-15,835,3.11,76,9590
apple.com,2018-05-16,880,3.15,73,9850
apple.com,2018-05-17,871,3.14,73,9620
apple.com,2018-05-18,826,3.10,77,9080
apple.com,2018-05-19,850,3.17,74,8780
apple.com,2018-05-20,841,3.12,76,9080
apple.com,2018-05-21,841,3.11,74,9660
apple.com,2018-05-22,886,3.12,71,9860
apple.com,2018-05-23,839,3.05,73,9520
apple.com,2018-05-24,851,3.10,72,9440
apple.com,2018-05-25,827,3.05,77,9190
apple.com,2018-05-26,822,3.06,78,8840
apple.com,2018-05-27,833,3.04,78,9250
apple.com,2018-05-28,856,3.11,72,9670
apple.com,2018-05-29,841,3.06,72,9860
apple.com,2018-05-30,901,3.20,71,10000
apple.com,2018-05-31,846,3.02,73,9970
apple.com,2018-06-01,891,3.06,68,10600
apple.com,2018-06-02,869,3.05,69,9500
apple.com,2018-06-03,797,2.98,80,9400
apple.com,2018-06-04,1150,3.21,56,13300
apple.com,2018-06-05,1180,3.50,61,12500
apple.com,2018-06-06,962,3.36,72,11000
apple.com,2018-06-07,850,3.21,72,10300
apple.com,2018-06-08,871,3.12,71,10600
apple.com,2018-06-09,864,3.24,72,9560
