Url,Date,PageviewsPerMillion,PageviewsPerUser,Rank,ReachPerMillion,gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,xad,exchg,costat
microsoft.com,5/10/18,1230,2.37,36,19400,12141,6/30/18,2018,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,1600,14,A
microsoft.com,5/11/18,1310,2.43,37,18600,12142,7/1/18,2019,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,1600,14,A
microsoft.com,5/12/18,1130,2.27,42,16500,12143,7/2/18,2020,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,1600,14,A
microsoft.com,5/13/18,1080,2.22,44,16600,12144,7/3/18,2021,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,1600,14,A
microsoft.com,5/14/18,1240,2.39,38,18800,12145,7/4/18,2022,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,1600,14,A
microsoft.com,5/15/18,1300,2.42,35,19200,12146,7/5/18,2023,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,1600,14,A
microsoft.com,5/16/18,1320,2.4,37,19400,12147,7/6/18,2024,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,1600,14,A
microsoft.com,5/17/18,1350,2.39,35,19500,12148,7/7/18,2025,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,1600,14,A
microsoft.com,5/18/18,1310,2.38,37,18800,12149,7/8/18,2026,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,1600,14,A
microsoft.com,5/19/18,1210,2.21,38,17900,12150,7/9/18,2027,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,1600,14,A
microsoft.com,5/20/18,1200,2.29,40,17600,12151,7/10/18,2028,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,1600,14,A
microsoft.com,5/21/18,1320,2.4,35,19600,12152,7/11/18,2029,INDL,C,D,STD,MSFT,MICROSOFT CORP,USD,1600,14,A
