Url,Date,PageviewsPerMillion,PageviewsPerUser,Rank,ReachPerMillion
etsy.com,2018-05-10,452,5.52,192,3040
etsy.com,2018-05-11,456,5.53,204,2850
etsy.com,2018-05-12,477,5.33,194,2980
etsy.com,2018-05-13,505,5.54,187,3100
etsy.com,2018-05-14,496,5.81,188,3090
etsy.com,2018-05-15,477,5.61,194,3040
etsy.com,2018-05-16,480,5.71,196,2970
etsy.com,2018-05-17,440,5.37,201,2840
etsy.com,2018-05-18,453,5.58,203,2770
etsy.com,2018-05-19,494,5.63,192,2870
etsy.com,2018-05-20,507,5.59,191,3050
etsy.com,2018-05-21,476,5.70,192,2980
etsy.com,2018-05-22,449,5.43,199,2870
etsy.com,2018-05-23,452,5.59,201,2810
etsy.com,2018-05-24,422,5.44,212,2670
etsy.com,2018-05-25,435,5.49,219,2680
etsy.com,2018-05-26,478,5.69,203,2760
etsy.com,2018-05-27,526,6.04,198,2940
etsy.com,2018-05-28,505,5.81,185,3050
etsy.com,2018-05-29,485,5.83,191,2980
etsy.com,2018-05-30,475,5.70,195,2970
etsy.com,2018-05-31,456,5.54,198,2930
etsy.com,2018-06-01,466,5.73,192,2950
etsy.com,2018-06-02,514,5.59,175,3070
etsy.com,2018-06-03,546,5.89,183,3260
etsy.com,2018-06-04,491,5.64,176,3240
etsy.com,2018-06-05,474,5.63,179,3130
etsy.com,2018-06-06,463,5.65,189,3140
etsy.com,2018-06-07,420,5.57,194,2930
etsy.com,2018-06-08,443,5.70,187,2950
etsy.com,2018-06-09,449,5.46,182,2950
