Url,Date,PageviewsPerMillion,PageviewsPerUser,Rank,ReachPerMillion
facebook.com,2018-05-10,18740,3.95,3,176800
facebook.com,2018-05-11,20100,3.96,3,175300
facebook.com,2018-05-12,20020,3.80,3,175100
facebook.com,2018-05-13,19600,3.78,3,176100
facebook.com,2018-05-14,19690,4.03,3,176600
facebook.com,2018-05-15,19180,3.90,3,175700
facebook.com,2018-05-16,17020,3.44,3,174800
facebook.com,2018-05-17,16990,3.41,3,173100
facebook.com,2018-05-18,17000,3.36,3,172600
facebook.com,2018-05-19,16630,3.19,3,170700
facebook.com,2018-05-20,16080,3.16,3,171000
facebook.com,2018-05-21,16440,3.40,3,172500
facebook.com,2018-05-22,15760,3.21,3,170700
facebook.com,2018-05-23,16040,3.25,3,170900
facebook.com,2018-05-24,16290,3.27,3,171600
facebook.com,2018-05-25,16320,3.24,3,170600
facebook.com,2018-05-26,16540,3.20,3,169900
facebook.com,2018-05-27,16050,3.18,3,170600
facebook.com,2018-05-28,16770,3.37,3,175000
facebook.com,2018-05-29,16810,3.47,3,173900
facebook.com,2018-05-30,17030,3.48,3,174100
facebook.com,2018-05-31,17400,3.57,3,173600
facebook.com,2018-06-01,19190,3.88,3,179400
facebook.com,2018-06-02,17870,3.41,3,174700
facebook.com,2018-06-03,17100,3.44,3,174800
facebook.com,2018-06-04,18270,3.82,3,178200
facebook.com,2018-06-05,18320,3.82,3,178300
facebook.com,2018-06-06,18840,4.00,3,180600
facebook.com,2018-06-07,17590,3.82,3,179000
facebook.com,2018-06-08,17760,3.77,3,178300
facebook.com,2018-06-09,17290,3.56,3,174500
