Url,Date,PageviewsPerMillion,PageviewsPerUser,Rank,ReachPerMillion
google.com,2018-01-01,69480,6.57,2,377600
google.com,2018-01-02,82890,8.33,1,412700
google.com,2018-01-03,85340,8.51,1,417600
google.com,2018-01-04,85730,8.48,1,419800
google.com,2018-01-05,84810,8.26,1,414100
google.com,2018-01-06,73050,7.02,2,394200
google.com,2018-01-07,72820,7.11,2,395400
google.com,2018-01-08,88260,8.62,1,424700
google.com,2018-01-09,89680,8.67,1,424600
google.com,2018-01-10,89150,8.57,1,425000
google.com,2018-01-11,88320,8.50,1,421900
google.com,2018-01-12,86870,8.19,1,415600
google.com,2018-01-13,72690,6.93,2,391500
google.com,2018-01-14,71760,6.99,2,391200
google.com,2018-01-15,86440,8.39,1,421300
google.com,2018-01-16,90400,8.69,1,423400
google.com,2018-01-17,90750,8.68,1,422600
google.com,2018-01-18,90460,8.56,1,422600
google.com,2018-01-19,88260,8.28,1,416300
google.com,2018-01-20,74190,6.99,2,394600
google.com,2018-01-21,74220,7.15,2,395800
google.com,2018-01-22,91160,8.76,1,427000
google.com,2018-01-23,91340,8.78,1,425600
google.com,2018-01-24,90700,8.61,1,424800
google.com,2018-01-25,87720,8.24,1,421900
google.com,2018-01-26,84190,7.91,1,413300
google.com,2018-01-27,71600,6.72,2,393700
google.com,2018-01-28,72090,6.87,2,396500
google.com,2018-01-29,89820,8.53,1,426900
google.com,2018-01-30,90570,8.51,1,426300
google.com,2018-01-31,92250,8.69,1,426200
Url,Date,PageviewsPerMillion,PageviewsPerUser,Rank,ReachPerMillion
google.com,2018-02-01,91660,8.55,1,426600
google.com,2018-02-02,88920,8.24,1,419400
google.com,2018-02-03,73010,6.79,2,396100
google.com,2018-02-04,72690,6.88,2,396100
google.com,2018-02-05,91040,8.65,1,427200
google.com,2018-02-06,91870,8.64,1,429300
google.com,2018-02-07,91500,8.61,1,426400
google.com,2018-02-08,90950,8.45,1,423400
google.com,2018-02-09,88300,8.15,1,418000
google.com,2018-02-10,72960,6.77,2,394600
google.com,2018-02-11,72570,6.93,2,401700
google.com,2018-02-12,90320,8.55,1,420700
google.com,2018-02-13,91050,8.58,1,417800
google.com,2018-02-14,91660,8.38,1,417800
google.com,2018-02-15,90700,8.24,1,422200
google.com,2018-02-16,87550,8.02,1,416600
google.com,2018-02-17,72650,6.67,2,393000
google.com,2018-02-18,72330,6.82,2,393500
google.com,2018-02-19,88190,8.16,1,425900
google.com,2018-02-20,91080,8.44,1,428200
google.com,2018-02-21,91440,8.51,1,426000
google.com,2018-02-22,90460,8.38,1,425000
google.com,2018-02-23,87970,8.11,1,420600
google.com,2018-02-24,72670,6.76,2,401900
google.com,2018-02-25,73220,6.90,2,401900
google.com,2018-02-26,91950,8.63,1,434200
google.com,2018-02-27,91360,8.50,1,433800
google.com,2018-02-28,90540,8.38,1,432100
Url,Date,PageviewsPerMillion,PageviewsPerUser,Rank,ReachPerMillion
google.com,2018-03-01,89560,8.37,1,427800
google.com,2018-03-02,85930,7.87,1,420500
google.com,2018-03-03,72980,6.71,2,400900
google.com,2018-03-04,74220,7.08,2,403100
google.com,2018-03-05,94630,8.92,1,433900
google.com,2018-03-06,94790,8.90,1,432700
google.com,2018-03-07,94370,8.75,1,432900
google.com,2018-03-08,92660,8.62,1,427600
google.com,2018-03-09,90340,8.34,1,422600
google.com,2018-03-10,74860,6.95,2,401300
google.com,2018-03-11,74540,7.08,2,400000
google.com,2018-03-12,90770,8.47,1,430400
google.com,2018-03-13,91030,8.43,1,429400
google.com,2018-03-14,90600,8.31,1,427700
google.com,2018-03-15,90230,8.23,1,427600
google.com,2018-03-16,86910,7.89,1,419700
google.com,2018-03-17,72390,6.62,2,396900
google.com,2018-03-18,71910,6.70,2,396500
google.com,2018-03-19,89510,8.33,1,430300
google.com,2018-03-20,90450,8.25,1,430800
google.com,2018-03-21,89750,8.21,1,428700
google.com,2018-03-22,91090,8.21,1,429200
google.com,2018-03-23,87310,7.84,1,421800
google.com,2018-03-24,71960,6.51,2,397300
google.com,2018-03-25,72440,6.69,2,397700
google.com,2018-03-26,90110,8.35,1,430400
google.com,2018-03-27,90580,8.30,1,428800
google.com,2018-03-28,88480,8.02,1,428200
google.com,2018-03-29,88340,7.97,1,425000
google.com,2018-03-30,81300,7.39,1,414700
google.com,2018-03-31,72850,6.50,2,401200
Url,Date,PageviewsPerMillion,PageviewsPerUser,Rank,ReachPerMillion
google.com,2018-04-01,71960,6.52,2,397800
google.com,2018-04-02,86140,7.90,1,427400
google.com,2018-04-03,92580,8.46,1,434100
google.com,2018-04-04,92740,8.36,1,432800
google.com,2018-04-05,89630,8.01,1,428200
google.com,2018-04-06,87000,7.75,1,424100
google.com,2018-04-07,74790,6.70,2,404600
google.com,2018-04-08,74930,6.87,2,409700
google.com,2018-04-09,91810,8.35,1,439300
google.com,2018-04-10,92330,8.38,1,438800
google.com,2018-04-11,91610,8.27,1,437700
google.com,2018-04-12,90770,8.12,1,436800
google.com,2018-04-13,88790,7.78,1,436500
google.com,2018-04-14,76830,6.61,1,418800
google.com,2018-04-15,78150,6.94,1,421500
google.com,2018-04-16,94300,8.31,1,453600
google.com,2018-04-17,96180,8.21,1,461000
google.com,2018-04-18,101900,8.16,1,485400
google.com,2018-04-19,106700,8.19,1,497600
google.com,2018-04-20,106000,8.00,1,498000
google.com,2018-04-21,94280,7.03,1,478100
google.com,2018-04-22,95610,7.29,1,479200
google.com,2018-04-23,109900,8.53,1,506400
google.com,2018-04-24,109900,8.48,1,504700
google.com,2018-04-25,110000,8.39,1,503700
google.com,2018-04-26,109900,8.27,1,504900
google.com,2018-04-27,106500,7.91,1,497400
google.com,2018-04-28,94590,7.01,1,480400
google.com,2018-04-29,94900,7.26,1,478500
google.com,2018-04-30,107700,8.29,1,498400
Url,Date,PageviewsPerMillion,PageviewsPerUser,Rank,ReachPerMillion
google.com,2018-05-01,104100,8.07,1,493300
google.com,2018-05-02,108700,8.24,1,506500
google.com,2018-05-03,107100,7.87,1,500900
google.com,2018-05-04,105100,7.83,1,497400
google.com,2018-05-05,93940,6.98,1,479800
google.com,2018-05-06,95020,7.01,1,478000
google.com,2018-05-07,108900,8.31,1,509100
google.com,2018-05-08,109000,8.29,1,507800
google.com,2018-05-09,108600,8.15,1,508600
google.com,2018-05-10,104300,7.70,1,504400
google.com,2018-05-11,58740,4.09,1,496200
google.com,2018-05-12,50300,3.51,2,477000
google.com,2018-05-13,48720,3.46,2,478800
google.com,2018-05-14,60690,4.34,1,506400
google.com,2018-05-15,60430,4.28,1,504300
google.com,2018-05-16,60780,4.24,1,505600
google.com,2018-05-17,60920,4.20,1,503300
google.com,2018-05-18,59330,4.06,1,498200
google.com,2018-05-19,50830,3.49,2,476700
google.com,2018-05-20,49150,3.45,2,478500
google.com,2018-05-21,60260,4.27,1,503500
google.com,2018-05-22,58260,4.02,1,503500
google.com,2018-05-23,59370,4.09,1,503100
google.com,2018-05-24,58810,4.05,1,500900
google.com,2018-05-25,56660,3.88,1,494300
google.com,2018-05-26,49950,3.45,2,475500
google.com,2018-05-27,48100,3.41,2,475800
google.com,2018-05-28,56630,3.97,1,500700
google.com,2018-05-29,61870,4.40,1,504900
google.com,2018-05-30,61880,4.37,1,503800
google.com,2018-05-31,62190,4.41,1,502400
Url,Date,PageviewsPerMillion,PageviewsPerUser,Rank,ReachPerMillion
google.com,2018-06-01,70490,5.15,1,496500
google.com,2018-06-02,52830,3.70,2,476800
google.com,2018-06-03,49950,3.67,2,479100
