Url,Date,PageviewsPerMillion,PageviewsPerUser,Rank,ReachPerMillion
bing.com,2018-05-10,1010,1.99,39,18900
bing.com,2018-05-11,1080,2.00,40,18700
bing.com,2018-05-12,1180,2.04,35,19100
bing.com,2018-05-13,1160,2.05,36,19200
bing.com,2018-05-14,1030,1.98,42,18800
bing.com,2018-05-15,1040,1.98,41,18800
bing.com,2018-05-16,1050,1.98,41,18700
bing.com,2018-05-17,1080,2.00,40,18800
bing.com,2018-05-18,1080,2.02,40,18300
bing.com,2018-05-19,1140,2.01,37,18600
bing.com,2018-05-20,1150,2.01,36,19200
bing.com,2018-05-21,1030,1.97,41,18700
bing.com,2018-05-22,1050,1.96,39,18700
bing.com,2018-05-23,1070,1.96,40,18900
bing.com,2018-05-24,1090,2.01,40,18700
bing.com,2018-05-25,1100,2.00,41,18600
bing.com,2018-05-26,1200,2.04,36,19300
bing.com,2018-05-27,1210,2.06,34,19800
bing.com,2018-05-28,1140,2.05,37,19500
bing.com,2018-05-29,1060,1.97,43,19300
bing.com,2018-05-30,1080,1.99,42,19200
bing.com,2018-05-31,1050,1.99,42,18800
bing.com,2018-06-01,1010,1.99,38,18400
bing.com,2018-06-02,1220,2.06,35,19700
bing.com,2018-06-03,1130,2.07,39,19200
bing.com,2018-06-04,1010,1.97,43,19100
bing.com,2018-06-05,1000,1.96,42,19000
bing.com,2018-06-06,980,2.00,42,18800
bing.com,2018-06-07,941,1.96,42,18700
bing.com,2018-06-08,981,1.99,41,18700
bing.com,2018-06-09,1090,2.05,37,19100
