Url,Date,PageviewsPerMillion,PageviewsPerUser,Rank,ReachPerMillion
live.com,2018-05-10,4198,3.62,15,43200
live.com,2018-05-11,4343,3.58,16,41900
live.com,2018-05-12,3800,3.48,17,36300
live.com,2018-05-13,3570,3.43,18,35300
live.com,2018-05-14,4525,3.69,15,44400
live.com,2018-05-15,4549,3.69,15,44000
live.com,2018-05-16,4849,3.85,15,44500
live.com,2018-05-17,4655,3.73,15,43400
live.com,2018-05-18,4552,3.72,15,41700
live.com,2018-05-19,4040,3.63,17,36300
live.com,2018-05-20,3800,3.56,18,35900
live.com,2018-05-21,4721,3.84,15,43800
live.com,2018-05-22,5098,3.95,12,44800
live.com,2018-05-23,4873,3.84,14,43900
live.com,2018-05-24,4773,3.78,15,43600
live.com,2018-05-25,4622,3.79,16,41300
live.com,2018-05-26,3920,3.57,18,36100
live.com,2018-05-27,3760,3.56,18,35600
live.com,2018-05-28,4743,3.81,16,43700
live.com,2018-05-29,4664,3.79,15,44200
live.com,2018-05-30,4705,3.77,14,44400
live.com,2018-05-31,4471,3.71,16,43000
live.com,2018-06-01,4381,3.73,14,42600
live.com,2018-06-02,3780,3.48,18,36200
live.com,2018-06-03,3550,3.48,18,35900
live.com,2018-06-04,4571,3.78,14,45100
live.com,2018-06-05,4590,3.75,14,45500
live.com,2018-06-06,4420,3.78,13,44900
live.com,2018-06-07,4216,3.70,15,44200
live.com,2018-06-08,4121,3.67,15,42500
live.com,2018-06-09,3540,3.47,18,36600
