Url,Date,PageviewsPerMillion,PageviewsPerUser,Rank,ReachPerMillion
paypal.com,2018-05-10,1030,4.07,73,9400
paypal.com,2018-05-11,1090,4.20,72,8960
paypal.com,2018-05-12,973,3.91,76,8280
paypal.com,2018-05-13,955,3.74,79,8680
paypal.com,2018-05-14,1090,4.16,73,9490
paypal.com,2018-05-15,1130,4.26,72,9510
paypal.com,2018-05-16,1060,4.14,74,9070
paypal.com,2018-05-17,1060,4.17,74,8830
paypal.com,2018-05-18,1090,4.16,74,8890
paypal.com,2018-05-19,999,3.90,72,8380
paypal.com,2018-05-20,940,3.85,79,8220
paypal.com,2018-05-21,1100,4.21,72,9310
paypal.com,2018-05-22,1060,4.06,72,9120
paypal.com,2018-05-23,1050,4.07,72,8940
paypal.com,2018-05-24,1030,4.10,74,8660
paypal.com,2018-05-25,1060,4.10,74,8770
paypal.com,2018-05-26,991,3.90,77,8350
paypal.com,2018-05-27,926,3.77,79,8300
paypal.com,2018-05-28,1100,4.09,71,9420
paypal.com,2018-05-29,1130,4.27,70,9520
paypal.com,2018-05-30,1090,4.24,72,9150
paypal.com,2018-05-31,1150,4.31,71,9500
paypal.com,2018-06-01,1360,4.65,63,10600
paypal.com,2018-06-02,1140,4.06,67,9350
paypal.com,2018-06-03,1040,3.94,76,9240
paypal.com,2018-06-04,1260,4.43,68,10600
paypal.com,2018-06-05,1270,4.48,67,10500
paypal.com,2018-06-06,1230,4.44,69,10600
paypal.com,2018-06-07,1150,4.37,68,10200
paypal.com,2018-06-08,1160,4.39,69,9980
paypal.com,2018-06-09,1040,4.03,71,9290
