Url,Date,PageviewsPerMillion,PageviewsPerUser,Rank,ReachPerMillion
spotify.com,2018-05-10,383,2.53,133,5640
spotify.com,2018-05-11,444,2.49,117,6160
spotify.com,2018-05-12,406,2.52,137,5350
spotify.com,2018-05-13,384,2.57,140,5080
spotify.com,2018-05-14,379,2.56,136,5360
spotify.com,2018-05-15,391,2.56,135,5450
spotify.com,2018-05-16,410,2.55,128,5660
spotify.com,2018-05-17,407,2.55,127,5530
spotify.com,2018-05-18,449,2.50,115,6110
spotify.com,2018-05-19,426,2.62,135,5310
spotify.com,2018-05-20,398,2.58,140,5180
spotify.com,2018-05-21,385,2.61,141,5270
spotify.com,2018-05-22,404,2.52,130,5580
spotify.com,2018-05-23,427,2.43,123,6070
spotify.com,2018-05-24,412,2.48,130,5720
spotify.com,2018-05-25,430,2.46,123,5920
spotify.com,2018-05-26,386,2.52,139,5040
spotify.com,2018-05-27,387,2.62,143,4980
spotify.com,2018-05-28,375,2.66,142,4950
spotify.com,2018-05-29,398,2.68,134,5330
spotify.com,2018-05-30,401,2.62,132,5460
spotify.com,2018-05-31,377,2.53,138,5310
spotify.com,2018-06-01,408,2.45,118,6050
spotify.com,2018-06-02,390,2.46,131,5290
spotify.com,2018-06-03,400,2.68,143,5250
spotify.com,2018-06-04,386,2.61,132,5510
spotify.com,2018-06-05,375,2.54,132,5480
spotify.com,2018-06-06,371,2.65,137,5360
spotify.com,2018-06-07,360,2.61,135,5350
spotify.com,2018-06-08,392,2.55,120,5830
spotify.com,2018-06-09,395,2.67,127,5320
