Url,Date,PageviewsPerMillion,PageviewsPerUser,Rank,ReachPerMillion
youtube.com,2018-05-10,52410,4.64,2,420800
youtube.com,2018-05-11,56860,4.63,2,424600
youtube.com,2018-05-12,65440,4.83,1,450500
youtube.com,2018-05-13,65080,4.87,1,453800
youtube.com,2018-05-14,52280,4.58,2,413200
youtube.com,2018-05-15,52590,4.55,2,412800
youtube.com,2018-05-16,53020,4.52,2,414100
youtube.com,2018-05-17,54580,4.54,2,416800
youtube.com,2018-05-18,57230,4.59,2,425400
youtube.com,2018-05-19,67620,4.88,1,453200
youtube.com,2018-05-20,65840,4.87,1,454300
youtube.com,2018-05-21,54060,4.63,2,416500
youtube.com,2018-05-22,53600,4.49,2,415200
youtube.com,2018-05-23,54320,4.54,2,414500
youtube.com,2018-05-24,54870,4.54,2,416300
youtube.com,2018-05-25,57440,4.59,2,423900
youtube.com,2018-05-26,65880,4.81,1,450300
youtube.com,2018-05-27,65480,4.88,1,453200
youtube.com,2018-05-28,56780,4.71,2,423400
youtube.com,2018-05-29,54030,4.66,2,416500
youtube.com,2018-05-30,54600,4.67,2,416800
youtube.com,2018-05-31,55540,4.72,2,419600
youtube.com,2018-06-01,56410,4.83,2,423400
youtube.com,2018-06-02,66290,4.94,1,448100
youtube.com,2018-06-03,64120,4.99,1,451400
youtube.com,2018-06-04,53280,4.81,2,412600
youtube.com,2018-06-05,53710,4.81,2,414900
youtube.com,2018-06-06,53090,4.88,2,417100
youtube.com,2018-06-07,51740,4.81,2,417600
youtube.com,2018-06-08,54370,4.85,2,424700
youtube.com,2018-06-09,62570,4.99,2,450200
