Url,Date,PageviewsPerMillion,PageviewsPerUser,Rank,ReachPerMillion
zoom.us,2018-05-10,130,2.61,396,1850
zoom.us,2018-05-11,114,2.54,466,1550
zoom.us,2018-05-12,47,2.70,1366,570
zoom.us,2018-05-13,44,3.10,1638,480
zoom.us,2018-05-14,123,2.57,426,1720
zoom.us,2018-05-15,136,2.63,412,1840
zoom.us,2018-05-16,129,2.59,419,1760
zoom.us,2018-05-17,133,2.56,409,1800
zoom.us,2018-05-18,121,2.47,436,1670
zoom.us,2018-05-19,53,2.90,1260,590
zoom.us,2018-05-20,46,2.90,1460,540
zoom.us,2018-05-21,126,2.80,447,1620
zoom.us,2018-05-22,129,2.56,415,1740
zoom.us,2018-05-23,129,2.41,402,1860
zoom.us,2018-05-24,131,2.40,390,1880
zoom.us,2018-05-25,113,2.50,478,1530
zoom.us,2018-05-26,50,2.90,1372,560
zoom.us,2018-05-27,41,3.00,1746,460
zoom.us,2018-05-28,61.4,2.80,958,770
zoom.us,2018-05-29,133,2.60,403,1840
zoom.us,2018-05-30,143,2.52,363,2020
zoom.us,2018-05-31,148,2.65,371,1990
zoom.us,2018-06-01,143,2.53,362,2050
zoom.us,2018-06-02,59,3.00,1098,650
zoom.us,2018-06-03,45.3,3.00,1505,530
zoom.us,2018-06-04,138,2.64,376,1950
zoom.us,2018-06-05,121,2.66,417,1690
zoom.us,2018-06-06,162,2.67,329,2320
zoom.us,2018-06-07,146,2.62,333,2170
zoom.us,2018-06-08,130,2.59,375,1900
zoom.us,2018-06-09,47.6,2.90,1268,590
